idade,peso,altura,imc,sexo_m,sexo_f,lesoes_count,comorbidades_count,n_days,total_exs,lower_count,lower_ratio,has_biset,has_triset,has_drop,quality_label
18,84.8,1.56,34.8,0,1,0,0,3,23,6,0.261,0,0,0,0
23,100.9,1.7,34.9,1,0,0,0,1,5,2,0.4,0,0,0,1
19,58.4,1.78,18.4,0,1,1,0,3,24,5,0.208,0,0,0,0
34,94.3,1.79,29.4,1,0,0,0,1,6,2,0.333,0,0,0,1
33,63.9,1.7,22.1,0,1,0,0,3,21,4,0.19,0,0,0,0
58,52.0,1.56,21.4,0,1,0,0,1,5,2,0.4,0,0,0,1
19,59.1,1.74,19.5,0,1,0,0,3,21,5,0.238,0,0,0,0
49,50.6,1.63,19.0,0,1,0,0,1,5,2,0.4,0,0,0,1
44,64.5,1.77,20.6,0,1,0,1,5,43,16,0.372,0,0,0,0
19,79.7,1.74,26.3,1,0,1,0,3,24,6,0.25,0,0,0,1
38,64.2,1.59,25.4,0,1,1,0,5,45,15,0.333,0,0,0,0
29,64.2,1.78,20.3,0,1,0,0,5,49,17,0.347,0,0,0,0
28,60.1,1.95,15.8,1,0,1,0,1,6,2,0.333,0,0,0,1
41,62.1,1.88,17.6,1,0,1,0,3,26,6,0.231,0,0,0,0
28,63.0,1.73,21.0,0,1,0,0,3,24,6,0.25,0,0,0,0
22,57.8,1.62,22.0,0,1,1,0,1,5,2,0.4,0,0,0,1
44,89.3,1.67,32.0,0,1,0,0,1,5,2,0.4,0,0,0,1
50,74.1,1.85,21.7,1,0,0,1,3,16,4,0.25,0,0,0,1
24,89.1,1.84,26.3,1,0,0,1,3,17,4,0.235,0,0,0,1
21,85.1,1.66,30.9,1,0,0,0,5,45,17,0.378,0,0,0,0
54,85.8,1.76,27.7,0,1,0,0,1,5,2,0.4,0,0,0,1
22,84.1,1.7,29.1,1,0,1,0,3,20,5,0.25,0,0,0,1
33,77.5,1.92,21.0,1,0,1,0,3,23,6,0.261,0,0,0,1
26,76.3,1.88,21.6,1,0,0,0,1,5,2,0.4,0,0,0,1
54,85.0,1.75,27.8,0,1,1,1,3,15,3,0.2,0,0,0,0
54,100.5,1.67,36.0,1,0,0,0,3,24,5,0.208,0,0,0,1
26,79.0,1.7,27.3,0,1,0,1,3,15,4,0.267,0,0,0,0
26,55.0,1.71,18.8,0,1,0,0,3,26,6,0.231,0,0,0,0
52,61.1,1.77,19.5,1,0,0,0,5,46,15,0.326,0,0,0,0
25,73.5,1.93,19.7,1,0,0,0,5,49,17,0.347,0,0,0,0
31,81.9,1.81,25.0,1,0,1,0,5,47,14,0.298,0,0,0,0
20,106.6,1.88,30.2,1,0,0,0,3,21,5,0.238,0,0,0,1
41,74.6,1.62,28.4,0,1,1,0,5,46,15,0.326,0,0,0,0
32,80.1,1.66,29.1,1,0,0,0,5,48,17,0.354,0,0,0,0
42,80.0,1.75,26.1,1,0,1,1,1,5,2,0.4,0,0,0,1
51,51.8,1.8,16.0,0,1,0,0,3,23,6,0.261,0,0,0,0
28,77.8,1.78,24.6,0,1,2,0,1,5,2,0.4,0,0,0,1
60,107.8,1.91,29.5,1,0,1,0,1,5,2,0.4,0,0,0,1
36,91.0,1.86,26.3,1,0,0,1,3,16,3,0.188,0,0,0,1
32,68.4,1.74,22.6,1,0,1,0,3,24,5,0.208,0,0,0,1
56,83.2,1.71,28.5,0,1,0,0,3,22,6,0.273,0,0,0,0
21,73.5,1.72,24.8,0,1,1,1,5,38,14,0.368,0,0,0,1
60,75.5,1.76,24.4,0,1,1,0,3,22,5,0.227,0,0,0,0
38,50.8,1.79,15.9,0,1,0,0,1,5,2,0.4,0,0,0,1
24,78.8,1.76,25.4,0,1,0,0,3,25,6,0.24,0,0,0,0
51,92.2,1.85,26.9,1,0,2,1,3,16,4,0.25,0,0,0,1
47,75.1,1.62,28.6,0,1,0,0,1,5,2,0.4,0,0,0,1
49,99.2,1.85,29.0,1,0,0,1,3,14,4,0.286,0,0,0,1
47,63.3,1.66,23.0,0,1,1,0,3,24,6,0.25,0,0,0,0
56,74.4,1.63,28.0,0,1,1,1,5,34,13,0.382,0,0,0,1
32,81.6,1.68,28.9,0,1,0,0,1,6,2,0.333,0,0,0,0
35,84.8,1.93,22.8,1,0,0,0,1,6,2,0.333,0,0,0,1
59,63.6,1.66,23.1,1,0,2,1,1,4,2,0.5,0,0,0,0
37,88.2,1.72,29.8,1,0,1,0,3,25,6,0.24,0,0,0,0
57,87.2,1.63,32.8,0,1,0,0,3,25,6,0.24,0,0,0,0
49,76.0,1.67,27.3,1,0,1,0,1,5,2,0.4,0,0,0,1
25,84.5,1.7,29.2,0,1,0,1,1,5,2,0.4,0,0,0,1
60,76.7,1.69,26.9,1,0,2,0,5,47,17,0.362,0,0,0,0
59,60.3,1.76,19.5,1,0,0,0,1,5,2,0.4,0,0,0,1
46,98.2,1.76,31.7,1,0,0,0,5,48,17,0.354,0,0,0,0
40,85.4,1.78,27.0,0,1,1,1,3,20,4,0.2,0,0,0,0
53,53.8,1.6,21.0,0,1,1,1,3,16,4,0.25,0,0,0,0
22,78.0,1.72,26.4,0,1,0,0,1,6,2,0.333,0,0,0,0
51,102.1,1.91,28.0,1,0,0,0,3,22,4,0.182,0,0,0,1
23,68.0,1.71,23.3,0,1,0,0,1,5,2,0.4,0,0,0,1
50,106.4,1.74,35.1,1,0,0,0,5,42,15,0.357,0,0,0,0
35,98.4,1.83,29.4,1,0,0,0,3,22,6,0.273,0,0,0,1
40,61.1,1.9,16.9,1,0,0,0,1,5,2,0.4,0,0,0,1
44,78.3,1.68,27.7,0,1,1,0,1,5,2,0.4,0,0,0,1
45,69.7,1.64,25.9,0,1,0,0,3,22,5,0.227,0,0,0,0
22,63.3,1.64,23.5,0,1,0,0,1,6,2,0.333,0,0,0,0
41,87.5,1.62,33.3,0,1,1,0,1,6,2,0.333,0,0,0,0
56,87.6,1.84,25.9,1,0,0,0,1,6,2,0.333,0,0,0,1
49,71.7,1.59,28.4,0,1,1,0,1,5,2,0.4,0,0,0,1
22,60.5,1.78,19.1,0,1,0,0,1,6,2,0.333,0,0,0,0
25,78.4,1.69,27.5,1,0,0,0,5,41,14,0.341,0,0,0,0
49,97.3,1.74,32.1,1,0,1,0,1,6,2,0.333,0,0,0,1
53,98.3,1.82,29.7,1,0,0,0,3,21,4,0.19,0,0,0,1
39,50.9,1.78,16.1,0,1,0,1,1,5,2,0.4,0,0,0,1
28,84.6,1.72,28.6,0,1,1,0,1,5,2,0.4,0,0,0,1
33,85.4,1.59,33.8,0,1,1,1,5,30,11,0.367,0,0,0,1
40,61.6,1.59,24.4,0,1,1,0,3,21,6,0.286,0,0,0,0
18,69.4,1.66,25.2,0,1,0,0,5,43,16,0.372,0,0,0,0
60,94.4,1.82,28.5,1,0,0,0,1,6,2,0.333,0,0,0,1
44,70.0,1.58,28.0,0,1,0,0,3,22,4,0.182,0,0,0,0
35,73.4,1.7,25.4,0,1,0,0,5,47,17,0.362,0,0,0,0
30,62.8,1.89,17.6,1,0,0,1,5,33,13,0.394,0,0,0,1
18,81.9,1.7,28.3,0,1,1,0,1,5,2,0.4,0,0,0,1
60,52.6,1.58,21.1,0,1,2,0,1,6,2,0.333,0,0,0,0
20,88.0,1.66,31.9,0,1,0,0,3,22,4,0.182,0,0,0,0
28,63.4,1.75,20.7,0,1,0,0,5,45,15,0.333,0,0,0,0
50,94.2,1.76,30.4,1,0,0,1,5,35,14,0.4,0,0,0,1
36,73.5,1.72,24.8,1,0,0,0,1,5,2,0.4,0,0,0,1
46,76.8,1.72,26.0,1,0,2,0,1,6,2,0.333,0,0,0,1
41,83.7,1.77,26.7,1,0,1,1,1,5,2,0.4,0,0,0,1
53,70.0,1.68,24.8,1,0,0,0,3,23,6,0.261,0,0,0,1
40,75.2,1.78,23.7,0,1,0,0,3,21,4,0.19,0,0,0,0
32,107.4,1.83,32.1,1,0,0,0,1,6,2,0.333,0,0,0,1
29,71.6,1.73,23.9,1,0,0,0,5,47,17,0.362,0,0,0,0
59,68.0,1.78,21.5,1,0,0,0,1,5,2,0.4,0,0,0,1
45,78.6,1.56,32.3,0,1,2,0,3,20,5,0.25,0,0,0,0
41,71.1,1.71,24.3,1,0,0,0,1,6,2,0.333,0,0,0,1
47,88.1,1.73,29.4,0,1,0,0,1,5,2,0.4,0,0,0,1
56,68.5,1.73,22.9,0,1,0,0,3,22,5,0.227,0,0,0,0
26,55.7,1.78,17.6,0,1,0,0,3,22,6,0.273,0,0,0,0
21,73.9,1.68,26.2,0,1,1,0,5,42,14,0.333,0,0,0,0
47,72.0,1.66,26.1,0,1,1,0,3,22,5,0.227,0,0,0,0
45,66.0,1.85,19.3,1,0,0,0,3,22,5,0.227,0,0,0,1
34,101.2,1.69,35.4,1,0,0,0,5,44,15,0.341,0,0,0,0
39,61.1,1.63,23.0,0,1,0,0,1,5,2,0.4,0,0,0,1
35,82.5,1.62,31.4,0,1,0,0,3,22,6,0.273,0,0,0,0
54,76.8,1.88,21.7,1,0,1,0,3,22,5,0.227,0,0,0,1
47,82.8,1.91,22.7,1,0,0,0,1,5,2,0.4,0,0,0,1
48,64.4,1.84,19.0,1,0,0,0,3,24,6,0.25,0,0,0,1
48,65.4,1.56,26.9,0,1,0,0,5,46,17,0.37,0,0,0,0
26,88.9,1.71,30.4,0,1,2,0,3,21,4,0.19,0,0,0,0
59,72.7,1.69,25.5,0,1,1,0,5,47,17,0.362,0,0,0,0
54,63.7,1.84,18.8,1,0,1,0,3,27,6,0.222,0,0,0,0
60,74.8,1.88,21.2,1,0,0,0,3,19,4,0.211,0,0,0,1
57,108.3,1.85,31.6,1,0,0,0,3,24,6,0.25,0,0,0,1
34,86.8,1.83,25.9,1,0,0,0,5,43,16,0.372,0,0,0,0
32,85.0,1.8,26.2,0,1,1,2,3,15,4,0.267,0,0,0,0
48,67.9,1.84,20.1,1,0,0,1,1,4,2,0.5,0,0,0,0
34,60.1,1.57,24.4,0,1,1,0,3,22,6,0.273,0,0,0,0
60,86.2,1.64,32.0,0,1,1,0,5,44,16,0.364,0,0,0,0
52,86.0,1.57,34.9,0,1,0,1,3,15,4,0.267,0,0,0,0
46,66.3,1.7,22.9,1,0,0,0,3,25,6,0.24,0,0,0,0
32,85.8,1.56,35.3,0,1,0,0,3,21,4,0.19,0,0,0,0
30,88.2,1.81,26.9,1,0,1,0,3,23,6,0.261,0,0,0,1
31,72.0,1.64,26.8,0,1,0,0,5,48,16,0.333,0,0,0,0
50,92.4,1.85,27.0,1,0,0,1,1,5,2,0.4,0,0,0,1
41,60.2,1.95,15.8,1,0,0,1,3,18,4,0.222,0,0,0,1
22,96.0,1.86,27.7,1,0,1,0,1,6,2,0.333,0,0,0,1
29,88.3,1.8,27.3,1,0,0,0,1,6,2,0.333,0,0,0,1
32,98.4,1.83,29.4,1,0,1,1,3,20,4,0.2,0,0,0,1
60,105.3,1.71,36.0,1,0,0,0,3,24,6,0.25,0,0,0,1
34,86.5,1.6,33.8,0,1,1,0,3,21,6,0.286,0,0,0,0
60,81.4,1.64,30.3,0,1,1,0,3,21,6,0.286,0,0,0,0
39,73.8,1.74,24.4,1,0,1,0,5,43,15,0.349,0,0,0,0
29,60.5,1.7,20.9,0,1,0,0,3,24,5,0.208,0,0,0,0
45,61.5,1.64,22.9,0,1,0,0,3,20,4,0.2,0,0,0,0
20,77.4,1.94,20.6,1,0,0,0,1,5,2,0.4,0,0,0,1
22,52.0,1.77,16.6,0,1,1,0,1,6,2,0.333,0,0,0,0
23,81.6,1.72,27.6,0,1,0,0,3,20,4,0.2,0,0,0,0
51,76.2,1.75,24.9,1,0,0,0,1,6,2,0.333,0,0,0,1
30,74.0,1.78,23.4,0,1,1,0,1,6,2,0.333,0,0,0,0
38,78.8,1.64,29.3,0,1,0,0,1,5,2,0.4,0,0,0,1
54,69.1,1.77,22.1,1,0,1,0,3,24,6,0.25,0,0,0,1
51,77.4,1.78,24.4,1,0,0,0,5,49,17,0.347,0,0,0,0
40,76.7,1.61,29.6,0,1,2,1,1,5,2,0.4,0,0,0,1
33,74.3,1.79,23.2,0,1,1,0,5,45,15,0.333,0,0,0,0
44,51.1,1.74,16.9,0,1,0,1,3,18,4,0.222,0,0,0,0
45,59.5,1.59,23.5,0,1,1,0,5,43,13,0.302,0,0,0,0
23,64.2,1.73,21.5,0,1,0,0,5,50,17,0.34,0,0,0,0
37,59.4,1.75,19.4,0,1,0,0,3,22,4,0.182,0,0,0,0
46,72.6,1.67,26.0,0,1,0,0,3,20,6,0.3,0,0,0,0
21,86.8,1.71,29.7,0,1,1,1,5,36,12,0.333,0,0,0,0
38,98.1,1.86,28.4,1,0,0,0,1,5,2,0.4,0,0,0,1
37,109.7,1.75,35.8,1,0,1,1,3,15,4,0.267,0,0,0,1
48,78.7,1.74,26.0,1,0,1,1,1,5,2,0.4,0,0,0,1
23,81.3,1.79,25.4,1,0,1,0,3,26,6,0.231,0,0,0,0
60,98.7,1.83,29.5,1,0,1,1,3,20,5,0.25,0,0,0,1
37,102.5,1.82,30.9,1,0,0,2,1,3,1,0.333,0,0,0,0
49,60.6,1.55,25.2,0,1,1,2,3,11,3,0.273,0,0,0,0
47,65.1,1.87,18.6,1,0,2,0,3,23,6,0.261,0,0,0,1
43,80.2,1.72,27.1,1,0,0,0,1,6,2,0.333,0,0,0,1
53,72.2,1.73,24.1,1,0,0,1,3,15,3,0.2,0,0,0,1
28,90.0,1.69,31.5,1,0,2,0,3,20,5,0.25,0,0,0,1
43,91.2,1.67,32.7,1,0,0,0,1,6,2,0.333,0,0,0,1
19,90.5,1.81,27.6,1,0,0,0,3,25,6,0.24,0,0,0,0
22,84.1,1.77,26.8,0,1,2,0,1,5,2,0.4,0,0,0,1
23,75.4,1.75,24.6,1,0,2,0,3,20,5,0.25,0,0,0,1
27,65.1,1.66,23.6,0,1,0,0,5,44,16,0.364,0,0,0,0
